miniseconds,velocity
0,0.24358263354000004
1,0.48716523131000444
2,0.7307477217700431
3,0.9743300333802403
4,1.217912094600899
5,1.4614938338925847
6,1.7050751797162096
7,1.948656060533117
8,2.192236404805164
9,2.435816140994808
10,2.679395197565188
11,2.92297350298021
12,3.1665509857046317
13,3.410127574204145
14,3.653703196945461
15,3.897277782396394
16,4.140851259025946
17,4.384423555304387
18,4.627994599703347
19,4.871564320695891
20,5.11513264675661
21,5.358699506361699
22,5.602264827989046
23,5.8458285401183145
24,6.089390571231027
25,6.332950849810648
26,6.57650930434267
27,6.820065863314696
28,7.063620455216525
29,7.307173008540236
30,7.550723451780267
31,7.794271713433507
32,8.037817721999374
33,8.2813614059799
34,8.524902693879822
35,8.768441514206648
36,9.011977795470765
37,9.255511466185503
38,9.499042454867228
39,9.742570690035425
40,9.986096100212782
41,10.229618613925274
42,10.473138159702243
43,10.716654666076487
44,10.960168061584342
45,11.203678274765766
46,11.447185234164417
47,11.690688868327753
48,11.934189105807095
49,12.177685875157728
50,12.421179104938975
51,12.664668723714284
52,12.908154660051308
53,13.151636842521999
54,13.39511519970268
55,13.638589660174137
56,13.882060152521694
57,14.125526605335308
58,14.368988947209646
59,14.612447106744165
60,14.855901012543207
61,15.09935059321607
62,15.342795777377102
63,15.58623649364578
64,15.829672670646788
65,16.073104237010117
66,16.316531121371135
67,16.559953252370665
68,16.803370558655086
69,17.046782968876407
70,17.290190411692354
71,17.53359281576644
72,17.77699010976808
73,18.02038222237263
74,18.263769082261515
75,18.50715061812228
76,18.750526758648693
77,18.99389743254082
78,19.237262568505106
79,19.48062209525446
80,19.72397594150835
81,19.967324035992867
82,20.210666307440825
83,20.45400268459184
84,20.697333096192395
85,20.940657470995962
86,21.18397573776305
87,21.4272878252613
88,21.670593662265574
89,21.91389317755803
90,22.157186299928213
91,22.400472958173125
92,22.64375308109733
93,22.887026597513014
94,23.130293436240084
95,23.373553526106246
96,23.616806795947085
97,23.860053174606154
98,24.103292590935045
99,24.346524973793496
100,24.589750252049456
101,24.832968354579158
102,25.076179210267227
103,25.319382748006745
104,25.56257889669935
105,25.805767585255303
106,26.048948742593574
107,26.29212229764193
108,26.53528817933702
109,26.77844631662445
110,27.021596638458867
111,27.264739073804048
112,27.507873551632986
113,27.751000000927952
114,27.9941183506806
115,28.237228529892043
116,28.48033046757293
117,28.723424092743535
118,28.966509334433834
119,29.2095861216836
120,29.452654383542463
121,29.695714049070016
122,29.93876504733589
123,30.181807307419827
124,30.424840758411776
125,30.66786532941196
126,30.91088094953098
127,31.153887547889884
128,31.396885053620238
129,31.639873395864235
130,31.882852503774757
131,32.12582230651547
132,32.36878273326088
133,32.61173371319646
134,32.8546751755187
135,33.0976070494352
136,33.34052926416472
137,33.58344174893735
138,33.82634443299446
139,34.06923724558892
140,34.31212011598509
141,34.55499297345892
142,34.79785574729806
143,35.04070836680191
144,35.283550761281724
145,35.52638286006068
146,35.76920459247396
147,36.01201588786886
148,36.25481667560482
149,36.49760688505355
150,36.74038644559909
151,36.98315528663791
152,37.22591333757897
153,37.46866052784382
154,37.71139678686665
155,37.95412204409443
156,38.19683622898693
157,38.43953927101685
158,38.68223109966985
159,38.92439259246949
160,39.16562556440707
161,39.40593350541267
162,39.645319892842586
163,39.88378819152045
164,40.121341853778155
165,40.357984319496765
166,40.5937190161473
167,40.82854935883136
168,41.062478750321766
169,41.295510581102974
170,41.527648229411454
171,41.758895061276014
172,41.98925443055791
173,42.218729678990925
174,42.44732413622137
175,42.67504111984791
176,42.901883935461356
177,43.12785587668433
178,43.352960225210815
179,43.577200250845635
180,43.8005792115438
181,44.02310035344977
182,44.24476691093665
183,44.46558210664519
184,44.68554915152281
185,44.90467124486239
186,45.122951574341094
187,45.34039331605897
188,45.556999634577544
189,45.77277368295827
190,45.98771860280086
191,46.201837524281565
192,46.415133566191315
193,46.62760983597378
194,46.839269429763306
195,47.050115432422785
196,47.260150917581406
197,47.46937894767227
198,47.677802573969984
199,47.88542483662811
200,48.09224876471648
201,48.29827737625846
202,48.50351367826812
203,48.707960666787265
204,48.91162132692237
205,49.11449863288146
206,49.31659554801083
207,49.51791502483174
208,49.718460005076885
209,49.918233419726924
210,50.11723818904681
211,50.315477222621986
212,50.51295341939462
213,50.7096696676996
214,50.90562884530051
215,51.10083381942546
216,51.295287446802874
217,51.48899257369712
218,51.681952035944065
219,51.874168658986555
220,52.06564525790975
221,52.256396955922355
222,52.446434389787115
223,52.63576527016137
224,52.82439716804903
225,53.012337518318695
226,53.1995936231086
227,53.386172655122785
228,53.57208166082275
229,53.75732756351858
230,53.9419171663634
231,54.12585715525482
232,54.3091541016469
233,54.491814465275944
234,54.67384459680343
235,54.85525074037896
236,55.03603903612635
237,55.21621552255556
238,55.395786138903134
239,55.574756727403845
240,55.753133035495836
241,55.93092071796174
242,56.10812533900801
243,56.2847523742846
244,56.46080721284709
245,56.636295159063245
246,56.811221434465956
247,56.98559117955434
248,57.15940945554477
249,57.33268124607356
250,57.50541145885292
251,57.67760492728169
252,57.84926641201242
253,58.02040060247619
254,58.191012118366594
255,58.36110551108417
256,58.530685265142544
257,58.69975579953766
258,58.868321469081046
259,59.03638656569849
260,59.20395531969509
261,59.37103190098768
262,59.53762042030588
263,59.70372493036247
264,59.86934942699428
265,60.034497850274256
266,60.19917408559584
267,60.36338196473034
268,60.527125266858086
269,60.69040771957434
270,60.8532329998705
271,61.015604735091486
272,61.17752650386991
273,61.33900183703784
274,61.500034218516625
275,61.66062708618562
276,61.82078383273031
277,61.9805078064704
278,62.13980231216858
279,62.29867061182033
280,62.45711592542548
281,62.615141431741925
282,62.77275026902204
283,62.929945535732266
284,63.08673029125635
285,63.24310755658267
286,63.399080314976096
287,63.55465151263479
288,63.70982405933245
289,63.864600829046175
290,64.01898466057062
291,64.1729783581186
292,64.32658469190852
293,64.47980639873919
294,64.632646182552
295,64.78510671498121
296,64.93719063589224
297,65.08890055390862
298,65.24023904692767
299,65.39120866262537
300,65.54181191895057
301,65.69205130460874
302,65.84192927953588
303,65.9914482753624
304,66.14061069586755
305,66.2894189174244
306,66.43787528943582
307,66.58598213476154
308,66.73374175013647
309,66.88115640658083
310,67.02822834980168
311,67.17495980058678
312,67.32135295519032
313,67.46740998571114
314,67.61313304046358
315,67.75852424434076
316,67.90358569917105
317,68.04831948406739
